utm_e_m,utm_n_m,density_CV,low_centered_frac,median_zcen_m,N,spacing_m,gr_peak,S_min,S_k0,numvar_slope
412336,7735933,0.852,0.298,0.068,5234,20.7,2.725,0.257,127.87,3.751
413836,7776433,0.841,0.378,0.013,4852,21.5,3.227,0.212,92.89,3.442
413836,7777933,0.829,0.277,0.037,4988,21.2,3.203,0.159,96.55,3.669
413836,7779433,0.590,0.303,0.032,4675,21.9,2.351,0.328,43.61,3.337
413836,7782433,0.738,0.147,0.052,5021,21.1,2.984,0.326,75.33,3.613
415336,7779433,0.707,0.294,0.035,5088,20.2,2.520,0.227,84.57,3.679
415336,7780933,0.673,0.288,0.033,4952,21.3,2.540,0.302,59.14,3.349
415336,7782433,0.816,0.191,0.067,5469,20.3,3.385,0.266,108.61,3.540
415336,7783933,1.057,0.162,0.073,4723,21.8,4.140,0.228,149.09,3.696
416836,7773433,0.705,0.228,0.044,4764,21.7,2.833,0.314,62.38,3.383
416836,7782433,0.632,0.217,0.052,6977,18.0,2.392,0.228,86.19,3.392
416836,7783933,0.403,0.203,0.051,7459,17.4,1.923,0.215,35.97,3.289
418336,7783933,0.786,0.196,0.046,4601,22.1,2.709,0.231,83.16,3.695
419836,7768933,0.544,0.170,0.043,4370,19.8,2.351,0.328,45.47,3.279
419836,7770433,0.388,0.207,0.036,5207,20.8,2.078,0.353,24.43,3.165
419836,7774933,0.844,0.136,0.049,4612,22.1,3.001,0.323,88.04,3.505
419836,7779433,0.702,0.196,0.042,4596,22.1,2.974,0.316,67.32,3.230
419836,7780933,0.702,0.254,0.026,6555,18.5,2.457,0.194,89.70,3.579
421336,7771933,0.526,0.255,0.027,4752,21.8,2.422,0.384,38.96,3.280
421336,7773433,0.643,0.200,0.033,4449,22.5,2.779,0.354,57.35,3.322
421336,7776433,0.843,0.135,0.050,4329,22.8,3.426,0.256,91.99,3.559
421336,7777933,0.427,0.188,0.039,4984,21.2,2.290,0.332,24.03,3.027
421336,7779433,0.631,0.181,0.041,4274,22.9,2.648,0.384,50.93,3.436
421336,7780933,0.726,0.243,0.033,4481,22.4,2.779,0.294,74.84,3.380
421336,7782433,0.727,0.306,0.032,4407,22.6,2.819,0.287,61.14,3.293
421336,7783933,0.661,0.258,0.029,6476,18.6,2.544,0.194,85.83,3.641
422836,7741933,0.785,0.356,0.028,4951,21.3,2.755,0.255,80.00,3.546
422836,7746433,0.587,0.495,0.000,4266,23.0,1.869,0.410,39.14,3.594
422836,7780933,0.566,0.188,0.043,4898,21.4,2.314,0.323,47.81,3.377
422836,7782433,0.359,0.202,0.042,5524,20.2,1.999,0.371,21.41,2.969
422836,7783933,0.647,0.169,0.044,4278,21.4,2.887,0.313,46.31,3.344
424336,7744933,0.332,0.495,0.000,6127,19.2,1.526,0.327,17.96,3.053
424336,7780933,0.733,0.165,0.046,4369,22.7,2.846,0.336,69.18,3.486
425836,7743433,0.462,0.673,-0.021,4830,21.6,1.656,0.356,28.85,3.171
425836,7744933,0.578,0.479,0.003,6411,18.7,1.674,0.269,57.40,3.576
425836,7746433,0.563,0.376,0.020,6921,18.0,1.844,0.287,57.03,3.624
425836,7747933,0.537,0.393,0.013,4448,22.5,2.070,0.359,37.30,3.442
